periode_data,tahun,wilayah,timbulan_sampah_ton,pengolahan_ton,pemrosesan_akhir_ton,jumlah_penanganan_sampah_ton,persentase_penanganan_sampah
2022,2022,Jakarta Barat,738547.73,160.6,544014.25,544174.85,73.68
2022,2022,Jakarta Pusat,310268.59,0,229159.31,229159.31,73.86
2022,2022,Jakarta Selatan,713300.85,0,525366.4,525366.4,73.65
2022,2022,Jakarta Timur,844252.3,5840,616485,622325,73.71
2022,2022,Jakarta Utara,499480.72,0,369339.5,369339.85,73.94
2022,2022,Kepulauan Seribu,6531.01,817.6,3963.9,4781.5,73.21
